processo;despacho;contagem_dispatched;contagem_dom
1020.2022/0014826-6;Despacho deferido;1;correto
1020.2022/0014805-3;Despacho deferido;1;correto
1020.2022/0014807-0;Despacho deferido;1;correto
1020.2022/0014809-6;Despacho deferido;1;correto
1020.2022/0014811-8;Despacho deferido;1;correto
1020.2022/0014813-4;Despacho deferido;1;correto
1020.2022/0014815-0;Despacho deferido;1;correto
1020.2022/0014817-7;Despacho deferido;1;correto
1020.2022/0014819-3;Despacho deferido;1;correto
1020.2022/0014820-7;Despacho deferido;1;correto
1020.2022/0014821-5;Despacho deferido;1;correto
1020.2022/0014822-3;Despacho deferido;1;correto
1020.2022/0014823-1;Despacho deferido;1;correto
1020.2022/0014824-0;Despacho deferido;1;correto
1020.2022/0014825-8;Despacho deferido;1;correto
1020.2022/0014827-4;Despacho deferido;1;correto
1020.2022/0014848-7;Despacho deferido;1;correto
1020.2022/0014828-2;Despacho deferido;1;correto
1020.2022/0014829-0;Despacho deferido;1;correto
1020.2022/0014830-4;Despacho deferido;1;correto
1020.2022/0014831-2;Despacho deferido;1;correto
1020.2022/0014832-0;Despacho deferido;1;correto
1020.2022/0014833-9;Despacho deferido;1;correto
1020.2022/0014839-8;Despacho deferido;1;correto
1020.2022/0014840-1;Despacho deferido;1;correto
1020.2022/0014841-0;Despacho deferido;1;correto
1020.2022/0014842-8;Despacho deferido;1;correto
1020.2022/0014843-6;Despacho deferido;1;correto
1020.2022/0014844-4;Despacho deferido;1;correto
1020.2022/0014845-2;Despacho deferido;1;correto
1020.2022/0014846-0;Despacho deferido;1;correto
1020.2022/0014804-5;Despacho deferido;1;correto
1020.2022/0014803-7;Despacho deferido;1;correto
1020.2022/0014801-0;Despacho deferido;1;correto
1020.2022/0014716-2;Despacho deferido;1;correto
1020.2022/0014717-0;Despacho deferido;1;correto
1020.2022/0014719-7;Despacho deferido;1;correto
1020.2022/0014720-0;Despacho deferido;1;correto
1020.2022/0014721-9;Despacho deferido;1;correto
1020.2022/0014722-7;Despacho deferido;1;correto
1020.2022/0014723-5;Despacho deferido;1;correto
1020.2022/0014724-3;Despacho deferido;1;correto
1020.2022/0014726-0;Despacho deferido;1;correto
1020.2022/0014727-8;Despacho deferido;1;correto
1020.2022/0014728-6;Despacho deferido;1;correto
1020.2022/0014729-4;Despacho deferido;1;correto
1020.2022/0014730-8;Despacho deferido;1;correto
1020.2022/0014731-6;Despacho deferido;1;correto
1020.2022/0014732-4;Despacho deferido;1;correto
1020.2022/0014733-2;Despacho deferido;1;correto
1020.2022/0014734-0;Despacho deferido;1;correto
1020.2022/0014735-9;Despacho deferido;1;correto
1020.2022/0014788-0;Despacho deferido;1;correto
1020.2022/0014791-0;Despacho deferido;1;correto
1020.2022/0014792-8;Despacho deferido;1;correto
1020.2022/0014794-4;Despacho deferido;1;correto
1020.2022/0014795-2;Despacho deferido;1;correto
1020.2022/0014797-9;Despacho deferido;1;correto
1020.2022/0014799-5;Despacho deferido;1;correto
1020.2022/0014800-2;Despacho deferido;1;correto
1020.2022/0014847-9;Despacho deferido;1;correto
1020.2022/0014849-5;Despacho deferido;1;correto
1020.2022/0014953-0;Despacho deferido;1;correto
1020.2022/0014937-8;Despacho deferido;1;correto
1020.2022/0014938-6;Despacho deferido;1;correto
1020.2022/0014939-4;Despacho deferido;1;correto
1020.2022/0014941-6;Despacho deferido;1;correto
1020.2022/0014942-4;Despacho deferido;1;correto
1020.2022/0014943-2;Despacho deferido;1;correto
1020.2022/0014944-0;Despacho deferido;1;correto
1020.2022/0014945-9;Despacho deferido;1;correto
1020.2022/0014946-7;Despacho deferido;1;correto
1020.2022/0014947-5;Despacho deferido;1;correto
1020.2022/0014948-3;Despacho deferido;1;correto
1020.2022/0014949-1;Despacho deferido;1;correto
1020.2022/0014950-5;Despacho deferido;1;correto
1020.2022/0014955-6;Despacho deferido;1;correto
1020.2022/0014850-9;Despacho deferido;1;correto
1020.2022/0014956-4;Despacho deferido;1;correto
1020.2022/0014959-9;Despacho deferido;1;correto
1020.2022/0014962-9;Despacho deferido;1;correto
1020.2022/0014964-5;Despacho deferido;1;correto
1020.2022/0014966-1;Despacho deferido;1;correto
1020.2022/0014967-0;Despacho deferido;1;correto
1020.2022/0014969-6;Despacho deferido;1;correto
1020.2022/0014978-5;Despacho deferido;1;correto
1020.2022/0014936-0;Despacho deferido;1;correto
1020.2022/0014935-1;Despacho deferido;1;correto
1020.2022/0014934-3;Despacho deferido;1;correto
1020.2022/0014933-5;Despacho deferido;1;correto
1020.2022/0014851-7;Despacho deferido;1;correto
1020.2022/0014852-5;Despacho deferido;1;correto
1020.2022/0014855-0;Despacho deferido;1;correto
1020.2022/0014904-1;Despacho deferido;1;correto
1020.2022/0014905-0;Despacho deferido;1;correto
1020.2022/0014906-8;Despacho deferido;1;correto
1020.2022/0014907-6;Despacho deferido;1;correto
1020.2022/0014908-4;Despacho deferido;1;correto
1020.2022/0014909-2;Despacho deferido;1;correto
1020.2022/0014910-6;Despacho deferido;1;correto
1020.2022/0014911-4;Despacho deferido;1;correto
1020.2022/0014912-2;Despacho deferido;1;correto
1020.2022/0014913-0;Despacho deferido;1;correto
1020.2022/0014914-9;Despacho deferido;1;correto
1020.2022/0014915-7;Despacho deferido;1;correto
1020.2022/0014916-5;Despacho deferido;1;correto
1020.2022/0014917-3;Despacho deferido;1;correto
1020.2022/0014918-1;Despacho deferido;1;correto
1020.2022/0014919-0;Despacho deferido;1;correto
1020.2022/0014920-3;Despacho deferido;1;correto
1020.2022/0014921-1;Despacho deferido;1;correto
1020.2022/0014922-0;Despacho deferido;1;correto
1020.2022/0014924-6;Despacho deferido;1;correto
1020.2022/0014927-0;Despacho deferido;1;correto
1020.2022/0014928-9;Despacho deferido;1;correto
1020.2022/0014930-0;Despacho deferido;1;correto
1020.2022/0014931-9;Despacho deferido;1;correto
1020.2022/0014932-7;Despacho deferido;1;correto
1020.2022/0014714-6;Despacho deferido;1;correto
1020.2022/0014713-8;Despacho deferido;1;inexistente
1020.2022/0014710-3;Despacho deferido;1;correto
1020.2022/0014623-9;Despacho deferido;1;correto
1020.2022/0014573-9;Despacho deferido;1;correto
1020.2022/0014574-7;Despacho deferido;1;correto
1020.2022/0014578-0;Despacho deferido;1;correto
1020.2022/0014579-8;Despacho deferido;1;correto
1020.2022/0014580-1;Despacho deferido;1;correto
1020.2022/0014581-0;Despacho deferido;1;correto
1020.2022/0014583-6;Despacho deferido;1;correto
1020.2022/0014585-2;Despacho deferido;1;correto
1020.2022/0014622-0;Despacho deferido;1;correto
1020.2022/0014624-7;Despacho deferido;1;correto
1020.2022/0014708-1;Despacho deferido;1;correto
1020.2022/0014625-5;Despacho deferido;1;correto
1020.2022/0014626-3;Despacho deferido;1;correto
1020.2022/0014627-1;Despacho deferido;1;correto
1020.2022/0014628-0;Despacho deferido;1;correto
1020.2022/0014629-8;Despacho deferido;1;correto
1020.2022/0014630-1;Despacho deferido;1;correto
1020.2022/0014631-0;Despacho deferido;1;correto
1020.2022/0014633-6;Despacho deferido;1;correto
1020.2022/0014634-4;Despacho deferido;1;correto
1020.2022/0014635-2;Despacho deferido;1;correto
1020.2022/0014636-0;Despacho deferido;1;correto
1020.2022/0014637-9;Despacho deferido;1;correto
1020.2022/0014638-7;Despacho deferido;1;correto
1020.2022/0014639-5;Despacho deferido;1;correto
1020.2022/0014572-0;Despacho deferido;1;correto
1020.2022/0014571-2;Despacho deferido;1;correto
1020.2022/0014570-4;Despacho deferido;1;correto
1020.2022/0014529-1;Despacho deferido;1;correto
1020.2022/0014530-5;Despacho deferido;1;correto
1020.2022/0014532-1;Despacho deferido;1;correto
1020.2022/0014534-8;Despacho deferido;1;correto
1020.2022/0014537-2;Despacho deferido;1;correto
1020.2022/0014538-0;Despacho deferido;1;correto
1020.2022/0014539-9;Despacho deferido;1;correto
1020.2022/0014541-0;Despacho deferido;1;correto
1020.2022/0014543-7;Despacho deferido;1;correto
1020.2022/0014544-5;Despacho deferido;1;correto
1020.2022/0014545-3;Despacho deferido;1;correto
1020.2022/0014546-1;Despacho deferido;1;correto
1020.2022/0014547-0;Despacho deferido;1;correto
1020.2022/0014548-8;Despacho deferido;1;correto
1020.2022/0014549-6;Despacho deferido;1;correto
1020.2022/0014550-0;Despacho deferido;1;correto
1020.2022/0014551-8;Despacho deferido;1;correto
1020.2022/0014552-6;Despacho deferido;1;correto
1020.2022/0014553-4;Despacho deferido;1;correto
1020.2022/0014554-2;Despacho deferido;1;correto
1020.2022/0014555-0;Despacho deferido;1;correto
1020.2022/0014560-7;Despacho deferido;1;correto
1020.2022/0014563-1;Despacho deferido;1;correto
1020.2022/0014564-0;Despacho deferido;1;correto
1020.2022/0014565-8;Despacho deferido;1;3
1020.2022/0014566-6;Despacho deferido;1;correto
1020.2022/0014567-4;Despacho deferido;1;correto
1020.2022/0014640-9;Despacho deferido;1;correto
1020.2022/0014641-7;Despacho deferido;1;correto
1020.2022/0014642-5;Despacho deferido;1;correto
1020.2022/0014676-0;Despacho deferido;1;correto
1020.2022/0014678-6;Despacho deferido;1;correto
1020.2022/0014679-4;Despacho deferido;1;correto
1020.2022/0014680-8;Despacho deferido;1;correto
1020.2022/0014681-6;Despacho deferido;1;correto
1020.2022/0014682-4;Despacho deferido;1;correto
1020.2022/0014683-2;Despacho deferido;1;correto
1020.2022/0014684-0;Despacho deferido;1;correto
1020.2022/0014685-9;Despacho deferido;1;correto
1020.2022/0014686-7;Despacho deferido;1;correto
1020.2022/0014687-5;Despacho deferido;1;correto
1020.2022/0014688-3;Despacho deferido;1;correto
1020.2022/0014689-1;Despacho deferido;1;correto
1020.2022/0014691-3;Despacho deferido;1;correto
1020.2022/0014692-1;Despacho deferido;1;correto
1020.2022/0014693-0;Despacho deferido;1;correto
1020.2022/0014694-8;Despacho deferido;1;correto
1020.2022/0014696-4;Despacho deferido;1;correto
1020.2022/0014697-2;Despacho deferido;1;correto
1020.2022/0014698-0;Despacho deferido;1;correto
1020.2022/0014699-9;Despacho deferido;1;correto
1020.2022/0014700-6;Despacho deferido;1;correto
1020.2022/0014701-4;Despacho deferido;1;correto
1020.2022/0014702-2;Despacho deferido;1;correto
1020.2022/0014703-0;Despacho deferido;1;correto
1020.2022/0014704-9;Despacho deferido;1;correto
1020.2022/0014705-7;Despacho deferido;1;correto
1020.2022/0014706-5;Despacho deferido;1;correto
1020.2022/0014707-3;Despacho deferido;1;correto
1020.2022/0014677-8;Despacho deferido;1;correto
1020.2022/0014675-1;Despacho deferido;1;correto
1020.2022/0014643-3;Despacho deferido;1;correto
1020.2022/0014674-3;Despacho deferido;1;correto
1020.2022/0014644-1;Despacho deferido;1;correto
1020.2022/0014645-0;Despacho deferido;1;correto
1020.2022/0014646-8;Despacho deferido;1;correto
1020.2022/0014647-6;Despacho deferido;1;correto
1020.2022/0014648-4;Despacho deferido;1;correto
1020.2022/0014649-2;Despacho deferido;1;correto
1020.2022/0014650-6;Despacho deferido;1;correto
1020.2022/0014651-4;Despacho deferido;1;correto
1020.2022/0014652-2;Despacho deferido;1;correto
1020.2022/0014653-0;Despacho deferido;1;correto
1020.2022/0014654-9;Despacho deferido;1;correto
1020.2022/0014655-7;Despacho deferido;1;correto
1020.2022/0014656-5;Despacho deferido;1;correto
1020.2022/0014657-3;Despacho deferido;1;correto
1020.2022/0014658-1;Despacho deferido;1;correto
1020.2022/0014659-0;Despacho deferido;1;correto
1020.2022/0014660-3;Despacho deferido;1;correto
1020.2022/0014661-1;Despacho deferido;1;correto
1020.2022/0014662-0;Despacho deferido;1;correto
1020.2022/0014663-8;Despacho deferido;1;correto
1020.2022/0014664-6;Despacho deferido;1;correto
1020.2022/0014665-4;Despacho deferido;1;correto
1020.2022/0014666-2;Despacho deferido;1;correto
1020.2022/0014667-0;Despacho deferido;1;correto
1020.2022/0014668-9;Despacho deferido;1;correto
1020.2022/0014669-7;Despacho deferido;1;correto
1020.2022/0014670-0;Despacho deferido;1;correto
1020.2022/0014671-9;Despacho deferido;1;correto
1020.2022/0014672-7;Despacho deferido;1;correto
1020.2022/0015052-0;Despacho deferido;1;correto
1020.2022/0015668-4;Despacho deferido;1;correto
1020.2022/0015472-0;Despacho deferido;1;correto
1020.2022/0015473-8;Despacho deferido;1;correto
1020.2022/0015474-6;Despacho deferido;1;correto
1020.2022/0015475-4;Despacho deferido;1;correto
1020.2022/0015476-2;Despacho deferido;1;correto
1020.2022/0015477-0;Despacho deferido;1;correto
1020.2022/0015478-9;Despacho deferido;1;correto
1020.2022/0015480-0;Despacho deferido;1;correto
1020.2022/0015481-9;Despacho deferido;1;correto
1020.2022/0015482-7;Despacho deferido;1;correto
1020.2022/0015483-5;Despacho deferido;1;correto
1020.2022/0015485-1;Despacho deferido;1;correto
1020.2022/0015486-0;Despacho deferido;1;correto
1020.2022/0015487-8;Despacho deferido;1;correto
1020.2022/0015534-3;Despacho deferido;1;correto
1020.2022/0015519-0;Despacho deferido;1;correto
1020.2022/0015522-0;Despacho deferido;1;correto
1020.2022/0015523-8;Despacho deferido;1;correto
1020.2022/0015524-6;Despacho deferido;1;correto
1020.2022/0015525-4;Despacho deferido;1;correto
1020.2022/0015526-2;Despacho deferido;1;correto
1020.2022/0015527-0;Despacho deferido;1;correto
1020.2022/0015528-9;Despacho deferido;1;correto
1020.2022/0015529-7;Despacho deferido;1;correto
1020.2022/0015530-0;Despacho deferido;1;correto
1020.2022/0015531-9;Despacho deferido;1;correto
1020.2022/0015532-7;Despacho deferido;1;correto
1020.2022/0015471-1;Despacho deferido;1;correto
1020.2022/0015468-1;Despacho deferido;1;correto
1020.2022/0015389-8;Despacho deferido;1;correto
1020.2022/0015390-1;Despacho deferido;1;correto
1020.2022/0015391-0;Despacho deferido;1;correto
1020.2022/0015392-8;Despacho deferido;1;correto
1020.2022/0015393-6;Despacho deferido;1;correto
1020.2022/0015394-4;Despacho deferido;1;correto
1020.2022/0015395-2;Despacho deferido;1;correto
1020.2022/0015396-0;Despacho deferido;1;correto
1020.2022/0015397-9;Despacho deferido;1;correto
1020.2022/0015399-5;Despacho deferido;1;correto
1020.2022/0015402-9;Despacho deferido;1;correto
1020.2022/0015433-9;Despacho deferido;1;inexistente
1020.2022/0015434-7;Despacho deferido;1;correto
1020.2022/0015439-8;Despacho deferido;1;correto
1020.2022/0015440-1;Despacho deferido;1;correto
1020.2022/0015442-8;Despacho deferido;1;correto
1020.2022/0015443-6;Despacho deferido;1;correto
1020.2022/0015444-4;Despacho deferido;1;correto
1020.2022/0015445-2;Despacho deferido;1;correto
1020.2022/0015449-5;Despacho deferido;1;correto
1020.2022/0015450-9;Despacho deferido;1;correto
1020.2022/0015451-7;Despacho deferido;1;correto
1020.2022/0015452-5;Despacho deferido;1;correto
1020.2022/0015454-1;Despacho deferido;1;correto
1020.2022/0015456-8;Despacho deferido;1;correto
1020.2022/0015533-5;Despacho deferido;1;correto
1020.2022/0015535-1;Despacho deferido;1;correto
1020.2022/0015054-6;Despacho deferido;1;correto
1020.2022/0015590-4;Despacho deferido;1;correto
1020.2022/0015572-6;Despacho deferido;1;correto
1020.2022/0015573-4;Despacho deferido;1;correto
1020.2022/0015575-0;Despacho deferido;1;correto
1020.2022/0015576-9;Despacho deferido;1;correto
1020.2022/0015577-7;Despacho deferido;1;correto
1020.2022/0015578-5;Despacho deferido;1;correto
1020.2022/0015579-3;Despacho deferido;1;correto
1020.2022/0015581-5;Despacho deferido;1;correto
1020.2022/0015582-3;Despacho deferido;1;correto
1020.2022/0015584-0;Despacho deferido;1;correto
1020.2022/0015585-8;Despacho deferido;1;correto
1020.2022/0015587-4;Despacho deferido;1;correto
1020.2022/0015589-0;Despacho deferido;1;correto
1020.2022/0015591-2;Despacho deferido;1;correto
1020.2022/0015536-0;Despacho deferido;1;correto
1020.2022/0015594-7;Despacho deferido;1;correto
1020.2022/0015595-5;Despacho deferido;1;correto
1020.2022/0015599-8;Despacho deferido;1;correto
1020.2022/0015600-5;Despacho deferido;1;correto
1020.2022/0015658-7;Despacho deferido;1;correto
1020.2022/0015667-6;Despacho deferido;1;correto
1020.2022/0015571-8;Despacho deferido;1;correto
1020.2022/0015569-6;Despacho deferido;1;correto
1020.2022/0015568-8;Despacho deferido;1;correto
1020.2022/0015537-8;Despacho deferido;1;correto
1020.2022/0015538-6;Despacho deferido;1;correto
1020.2022/0015539-4;Despacho deferido;1;correto
1020.2022/0015540-8;Despacho deferido;1;correto
1020.2022/0015542-4;Despacho deferido;1;correto
1020.2022/0015543-2;Despacho deferido;1;correto
1020.2022/0015544-0;Despacho deferido;1;correto
1020.2022/0015545-9;Despacho deferido;1;correto
1020.2022/0015546-7;Despacho deferido;1;correto
1020.2022/0015547-5;Despacho deferido;1;correto
1020.2022/0015548-3;Despacho deferido;1;correto
1020.2022/0015549-1;Despacho deferido;1;correto
1020.2022/0015550-5;Despacho deferido;1;correto
1020.2022/0015551-3;Despacho deferido;1;correto
1020.2022/0015552-1;Despacho deferido;1;correto
1020.2022/0015553-0;Despacho deferido;1;correto
1020.2022/0015554-8;Despacho deferido;1;correto
1020.2022/0015555-6;Despacho deferido;1;correto
1020.2022/0015556-4;Despacho deferido;1;correto
1020.2022/0015557-2;Despacho deferido;1;correto
1020.2022/0015558-0;Despacho deferido;1;correto
1020.2022/0015559-9;Despacho deferido;1;correto
1020.2022/0015560-2;Despacho deferido;1;correto
1020.2022/0015561-0;Despacho deferido;1;correto
1020.2022/0015562-9;Despacho deferido;1;correto
1020.2022/0015563-7;Despacho deferido;1;correto
1020.2022/0015564-5;Despacho deferido;1;correto
1020.2022/0015565-3;Despacho deferido;1;correto
1020.2022/0015566-1;Despacho deferido;1;correto
1020.2022/0015388-0;Despacho deferido;1;correto
1020.2022/0015387-1;Despacho deferido;1;correto
1020.2022/0015386-3;Despacho deferido;1;correto
1020.2022/0015176-3;Despacho deferido;1;correto
1020.2022/0015153-4;Despacho deferido;1;correto
1020.2022/0015154-2;Despacho deferido;1;correto
1020.2022/0015156-9;Despacho deferido;1;correto
1020.2022/0015157-7;Despacho deferido;1;correto
1020.2022/0015158-5;Despacho deferido;1;correto
1020.2022/0015161-5;Despacho deferido;1;correto
1020.2022/0015162-3;Despacho deferido;1;correto
1020.2022/0015164-0;Despacho deferido;1;correto
1020.2022/0015167-4;Despacho deferido;1;correto
1020.2022/0015171-2;Despacho deferido;1;correto
1020.2022/0015172-0;Despacho deferido;1;correto
1020.2022/0015174-7;Despacho deferido;1;correto
1020.2022/0015175-5;Despacho deferido;1;correto
1020.2022/0015178-0;Despacho deferido;1;correto
1020.2022/0015385-5;Despacho deferido;1;correto
1020.2022/0015179-8;Despacho deferido;1;correto
1020.2022/0015180-1;Despacho deferido;1;correto
1020.2022/0015181-0;Despacho deferido;1;correto
1020.2022/0015182-8;Despacho deferido;1;correto
1020.2022/0015185-2;Despacho deferido;1;correto
1020.2022/0015189-5;Despacho deferido;1;correto
1020.2022/0015190-9;Despacho deferido;1;correto
1020.2022/0015191-7;Despacho deferido;1;correto
1020.2022/0015192-5;Despacho deferido;1;correto
1020.2022/0015196-8;Despacho deferido;1;correto
1020.2022/0015197-6;Despacho deferido;1;correto
1020.2022/0015198-4;Despacho deferido;1;correto
1020.2022/0015152-6;Despacho deferido;1;correto
1020.2022/0015151-8;Despacho deferido;1;correto
1020.2022/0015150-0;Despacho deferido;1;correto
1020.2022/0015149-6;Despacho deferido;1;correto
1020.2022/0015055-4;Despacho deferido;1;correto
1020.2022/0015057-0;Despacho deferido;1;correto
1020.2022/0015060-0;Despacho deferido;1;correto
1020.2022/0015064-3;Despacho deferido;1;correto
1020.2022/0015065-1;Despacho deferido;1;correto
1020.2022/0015066-0;Despacho deferido;1;correto
1020.2022/0015067-8;Despacho deferido;1;correto
1020.2022/0015068-6;Despacho deferido;1;correto
1020.2022/0015069-4;Despacho deferido;1;correto
1020.2022/0015070-8;Despacho deferido;1;correto
1020.2022/0015071-6;Despacho deferido;1;correto
1020.2022/0015072-4;Despacho deferido;1;correto
1020.2022/0015073-2;Despacho deferido;1;correto
1020.2022/0015075-9;Despacho deferido;1;correto
1020.2022/0015076-7;Despacho deferido;1;correto
1020.2022/0015077-5;Despacho deferido;1;correto
1020.2022/0015078-3;Despacho deferido;1;correto
1020.2022/0015079-1;Despacho deferido;1;correto
1020.2022/0015080-5;Despacho deferido;1;correto
1020.2022/0015081-3;Despacho deferido;1;correto
1020.2022/0015082-1;Despacho deferido;1;correto
1020.2022/0015083-0;Despacho deferido;1;correto
1020.2022/0015084-8;Despacho deferido;1;correto
1020.2022/0015086-4;Despacho deferido;1;correto
1020.2022/0015088-0;Despacho deferido;1;correto
1020.2022/0015145-3;Despacho deferido;1;correto
1020.2022/0015146-1;Despacho deferido;1;correto
1020.2022/0015147-0;Despacho deferido;1;correto
1020.2022/0015148-8;Despacho deferido;1;correto
1020.2022/0015199-2;Despacho deferido;1;correto
1020.2022/0015200-0;Despacho deferido;1;correto
1020.2022/0015346-4;Despacho deferido;1;correto
1020.2022/0015348-0;Despacho deferido;1;correto
1020.2022/0015352-9;Despacho deferido;1;correto
1020.2022/0015354-5;Despacho deferido;1;correto
1020.2022/0015356-1;Despacho deferido;1;correto
1020.2022/0015357-0;Despacho deferido;1;correto
1020.2022/0015358-8;Despacho deferido;1;correto
1020.2022/0015359-6;Despacho deferido;1;correto
1020.2022/0015360-0;Despacho deferido;1;correto
1020.2022/0015362-6;Despacho deferido;1;correto
1020.2022/0015363-4;Despacho deferido;1;correto
1020.2022/0015364-2;Despacho deferido;1;correto
1020.2022/0015369-3;Despacho deferido;1;correto
1020.2022/0015370-7;Despacho deferido;1;correto
1020.2022/0015371-5;Despacho deferido;1;correto
1020.2022/0015372-3;Despacho deferido;1;correto
1020.2022/0015373-1;Despacho deferido;1;correto
1020.2022/0015374-0;Despacho deferido;1;correto
1020.2022/0015375-8;Despacho deferido;1;correto
1020.2022/0015376-6;Despacho deferido;1;correto
1020.2022/0015377-4;Despacho deferido;1;correto
1020.2022/0015378-2;Despacho deferido;1;correto
1020.2022/0015379-0;Despacho deferido;1;correto
1020.2022/0015380-4;Despacho deferido;1;correto
1020.2022/0015381-2;Despacho deferido;1;correto
1020.2022/0015382-0;Despacho deferido;1;correto
1020.2022/0015383-9;Despacho deferido;1;correto
1020.2022/0015384-7;Despacho deferido;1;correto
1020.2022/0015345-6;Despacho deferido;1;correto
1020.2022/0015202-6;Despacho deferido;1;correto
1020.2022/0015343-0;Despacho deferido;1;correto
1020.2022/0015207-7;Despacho deferido;1;correto
1020.2022/0015259-0;Despacho deferido;1;correto
1020.2022/0015260-3;Despacho deferido;1;correto
1020.2022/0015261-1;Despacho deferido;1;correto
1020.2022/0015263-8;Despacho deferido;1;correto
1020.2022/0015267-0;Despacho deferido;1;correto
1020.2022/0015270-0;Despacho deferido;1;correto
1020.2022/0015271-9;Despacho deferido;1;correto
1020.2022/0015273-5;Despacho deferido;1;correto
1020.2022/0015275-1;Despacho deferido;1;correto
1020.2022/0015280-8;Despacho deferido;1;correto
1020.2022/0015283-2;Despacho deferido;1;correto
1020.2022/0015285-9;Despacho deferido;1;correto
1020.2022/0015288-3;Despacho deferido;1;correto
1020.2022/0015289-1;Despacho deferido;1;correto
1020.2022/0015290-5;Despacho deferido;1;correto
1020.2022/0015292-1;Despacho deferido;1;correto
1020.2022/0015293-0;Despacho deferido;1;correto
1020.2022/0015332-4;Despacho deferido;1;correto
1020.2022/0015333-2;Despacho deferido;1;correto
1020.2022/0015334-0;Despacho deferido;1;correto
1020.2022/0015336-7;Despacho deferido;1;correto
1020.2022/0015337-5;Despacho deferido;1;correto
1020.2022/0015338-3;Despacho deferido;1;correto
1020.2022/0020590-1;Despacho deferido;1;correto
1020.2022/0020592-8;Despacho deferido;1;correto
1020.2023/0007874-0;Despacho deferido;1;correto
1020.2023/0007880-4;Despacho deferido;1;correto
1020.2023/0007912-6;Despacho deferido;1;correto
1020.2023/0007914-2;Despacho deferido;1;correto
1020.2023/0007925-8;Despacho deferido;1;correto
1020.2023/0007932-0;Despacho deferido;1;correto
1020.2023/0007969-0;Despacho deferido;1;correto
1020.2023/0007979-7;Despacho deferido;1;correto
1020.2023/0007980-0;Despacho deferido;1;correto
1020.2023/0008058-2;Despacho deferido;1;correto
1020.2023/0008123-6;Despacho deferido;1;correto
1020.2023/0008075-2;Despacho deferido;1;correto
1020.2023/0008076-0;Despacho deferido;1;correto
1020.2023/0008083-3;Despacho deferido;1;correto
1020.2023/0008084-1;Despacho deferido;1;correto
1020.2023/0008085-0;Despacho deferido;1;correto
1020.2023/0008086-8;Despacho deferido;1;correto
1020.2023/0008099-0;Despacho deferido;1;correto
1020.2023/0008101-5;Despacho deferido;1;correto
1020.2023/0008111-2;Despacho deferido;1;correto
1020.2023/0008116-3;Despacho deferido;1;correto
1020.2023/0007871-5;Despacho deferido;1;inexistente
1020.2023/0007870-7;Despacho deferido;1;correto
1020.2023/0007868-5;Despacho deferido;1;correto
1020.2023/0007866-9;Despacho deferido;1;correto
1020.2023/0007711-5;Despacho deferido;1;correto
1020.2023/0007714-0;Despacho deferido;1;correto
1020.2023/0007717-4;Despacho deferido;1;correto
1020.2023/0007719-0;Despacho deferido;1;correto
1020.2023/0007758-1;Despacho deferido;1;correto
1020.2023/0007761-1;Despacho deferido;1;correto
1020.2023/0007763-8;Despacho deferido;1;correto
1020.2023/0007768-9;Despacho deferido;1;correto
1020.2023/0007769-7;Despacho deferido;1;correto
1020.2023/0007773-5;Despacho deferido;1;correto
1020.2023/0007774-3;Despacho deferido;1;correto
1020.2023/0007775-1;Despacho deferido;1;correto
1020.2023/0007776-0;Despacho deferido;1;correto
1020.2023/0007779-4;Despacho deferido;1;correto
1020.2023/0007780-8;Despacho deferido;1;correto
1020.2023/0007783-2;Despacho deferido;1;correto
1020.2023/0007786-7;Despacho deferido;1;correto
1020.2023/0007789-1;Despacho deferido;1;correto
1020.2023/0007822-7;Despacho deferido;1;correto
1020.2023/0007825-1;Despacho deferido;1;correto
1020.2023/0007837-5;Despacho deferido;1;correto
1020.2023/0007865-0;Despacho deferido;1;correto
1020.2023/0008121-0;Despacho deferido;1;correto
1020.2023/0008128-7;Despacho deferido;1;correto
1020.2023/0008296-8;Despacho deferido;1;correto
1020.2023/0008299-2;Despacho deferido;1;correto
1020.2023/0008300-0;Despacho deferido;1;correto
1020.2023/0008311-5;Despacho deferido;1;correto
1020.2023/0008312-3;Despacho deferido;1;correto
1020.2023/0008313-1;Despacho deferido;1;inexistente
1020.2023/0008315-8;Despacho deferido;1;correto
1020.2023/0008317-4;Despacho deferido;1;correto
1020.2023/0008321-2;Despacho deferido;1;correto
1020.2023/0008325-5;Despacho deferido;1;correto
1020.2023/0008327-1;Despacho deferido;1;correto
1020.2023/0008131-7;Despacho deferido;1;correto
1020.2023/0008428-6;Despacho deferido;1;correto
1020.2023/0008434-0;Despacho deferido;1;correto
1020.2023/0008435-9;Despacho deferido;1;correto
1020.2023/0008436-7;Despacho deferido;1;correto
1020.2023/0008442-1;Despacho deferido;1;correto
1020.2023/0008443-0;Despacho deferido;1;correto
1020.2023/0008444-8;Despacho deferido;1;correto
1020.2023/0008446-4;Despacho deferido;1;correto
1020.2023/0008447-2;Despacho deferido;1;correto
1020.2023/0008449-9;Despacho deferido;1;correto
1020.2023/0008450-2;Despacho deferido;1;correto
1020.2023/0008451-0;Despacho deferido;1;correto
1020.2023/0008452-9;Despacho deferido;1;correto
1020.2023/0008295-0;Despacho deferido;1;correto
1020.2023/0008288-7;Despacho deferido;1;correto
1020.2023/0008284-4;Despacho deferido;1;correto
1020.2023/0008282-8;Despacho deferido;1;correto
1020.2023/0008138-4;Despacho deferido;1;correto
1020.2023/0008145-7;Despacho deferido;1;correto
